"Hostname","AgentId","Groups","uuid","platform","distro","os","ip","status","agent_version","core_version","linked_on","last_connect","last_scanned","LastConnectUtc","LastScannedUtc","health_state_name"
"004692792957-MC","629137764","McNeil-Intune","abfb8030-18f3-48f9-82bd-4684e71f72de","WINDOWS","win-x86-64",,"192.168.12.38","on",,"11.1.2","1715195642","1776797169","1776793148","4/21/2026 6:46:09 PM","4/21/2026 5:39:08 PM","HEALTHY"
"005477594157-MC","672189294","McNeil-Intune","b0189df8-24c5-4c0d-a091-f867956a9881","WINDOWS","win-x86-64",,"192.168.10.126","on",,"11.1.2","1767381417","1776797930","1776793908","4/21/2026 6:58:50 PM","4/21/2026 5:51:48 PM","HEALTHY"
"034389113257-MC","104098607","McNeil-Intune","53571659-7472-4943-92a9-7e48b0c9582a","WINDOWS","win-x86-64",,"192.168.10.109","on",,"11.1.2","1639783248","1776796353","1776794344","4/21/2026 6:32:33 PM","4/21/2026 5:59:04 PM","HEALTHY"
"036609401157-MC","72192768","McNeil-Intune","928ae54d-490b-4b8d-8309-ca124457cc33","WINDOWS","win-x86-64",,"192.168.115.227","on",,"11.1.2","1628449119","1776796097","1776794088","4/21/2026 6:28:17 PM","4/21/2026 5:54:48 PM","HEALTHY"
"0F003MQ22463FB-","673285660","McNeil-Intune","483b37cb-55bd-46fd-8dcb-13e543eb7584","WINDOWS","win-x86-64",,"192.168.12.3","on",,"11.1.2","1769092014","1776795765","1776794733","4/21/2026 6:22:45 PM","4/21/2026 6:05:33 PM","HEALTHY"
"0F012RY23073FB-","665272542","McNeil-Intune","6a646148-77a0-4112-85c4-d5cb8c1cf784","WINDOWS","win-x86-64",,"192.168.7.122","on",,"11.1.2","1759210443","1776797089","1776793069","4/21/2026 6:44:49 PM","4/21/2026 5:37:49 PM","HEALTHY"
"0F012SZ23073FB-","633566017","McNeil-Intune","e70ce87b-c6d1-447e-afe4-b874e75e0310","WINDOWS","win-x86-64",,"192.168.86.46","on",,"11.1.2","1722977392","1776796114","1776794107","4/21/2026 6:28:34 PM","4/21/2026 5:55:07 PM","HEALTHY"
"0F01W7623013BF-","654684348","McNeil-Intune","66967984-f7cd-4b8f-b4a6-e51acf137ad2","WINDOWS","win-x86-64",,"192.168.7.144","on",,"11.1.2","1749051343","1776793778","1776641649","4/21/2026 5:49:38 PM","4/19/2026 11:34:09 PM","HEALTHY"
"0F33MHK24403MR-","647100221","McNeil-Intune","65b85183-5478-416c-aec8-2fb6d137386a","WINDOWS","win-x86-64",,"192.168.68.52","on",,"11.1.2","1741891048","1776797481","1776795472","4/21/2026 6:51:21 PM","4/21/2026 6:17:52 PM","HEALTHY"
"0F344CF24113M4-","630406200","McNeil-Intune","fed221ef-ba4c-4ae5-bac7-1378c973c45f","WINDOWS","win-x86-64",,"192.168.10.105","on",,"11.1.2","1717421055","1776796998","1776792977","4/21/2026 6:43:18 PM","4/21/2026 5:36:17 PM","HEALTHY"
"1816633002-MCNE","671521320","McNeil-Intune","918b4938-5284-4fd8-a49a-4e7c38dc84da","WINDOWS","win-x86-64",,"10.233.200.52","on",,"11.1.2","1766270927","1776797517","1776793496","4/21/2026 6:51:57 PM","4/21/2026 5:44:56 PM","HEALTHY"
"1ARCH-PW08T6MY","675690138","AMI-Workstation","cd733ad1-5079-4cd6-bc34-d7b2eba2278d","WINDOWS","win-x86-64",,"192.168.1.76","on",,"11.1.2","1772459882","1776791395","1776690906","4/21/2026 5:09:55 PM","4/20/2026 1:15:06 PM","HEALTHY"
"5CG1347BMP","631856388","RMIC-Workstation","31ffa2cf-8d67-4acd-a514-313f50497cc4","WINDOWS","win-x86-64",,"192.168.88.247","off",,"11.1.2","1719932428","1774988848","1774966723","3/31/2026 8:27:28 PM","3/31/2026 2:18:43 PM","HEALTHY"
"5CG1347K8D","632089866","RMIC-Workstation","5e9f4211-eaad-45f4-819a-a8a54cfd8272","WINDOWS","win-x86-64",,"192.168.1.47","off",,"11.1.2","1720443049","1775933294","1774967452","4/11/2026 6:48:14 PM","3/31/2026 2:30:52 PM","HEALTHY"
"ACGLBMDB4","266254669","ARCHRE-Server","0026307d-388a-45cd-a700-5c34636479a0","WINDOWS","win-x86-64",,"10.228.164.15","on",,"11.1.2","1654247835","1776797998","1776791966","4/21/2026 6:59:58 PM","4/21/2026 5:19:26 PM","HEALTHY"
"ACG-LT0534","661252518","ARCHRE-Workstation","f6069891-cf75-4708-bc57-238d4a621d6d","WINDOWS","win-x86-64",,"10.228.180.221","on",,"11.1.2","1755025236","1776797010","1776776691","4/21/2026 6:43:30 PM","4/21/2026 1:04:51 PM","HEALTHY"
"ACG-LT0548","660233891","ARCHRE-Workstation","caf87383-4d7c-448d-ae55-6d5c0e2bd9e1","WINDOWS","win-x86-64",,"10.225.129.60","on",,"11.1.2","1753930242","1776796437","1776776325","4/21/2026 6:33:57 PM","4/21/2026 12:58:45 PM","HEALTHY"
"ACG-LT0552","660274369","ARCHRE-Workstation","44f1db0f-f84b-435a-9995-f677243f1aac","WINDOWS","win-x86-64",,"10.225.128.137","on",,"11.1.2","1753971097","1776797492","1776775369","4/21/2026 6:51:32 PM","4/21/2026 12:42:49 PM","HEALTHY"
"ACG-LT0553","658997683","ARCHRE-Workstation","8ca3f37b-9b39-4002-adc3-c5b51e61345f","WINDOWS","win-x86-64",,"10.225.129.66","on",,"11.1.2","1752763024","1776797295","1776775320","4/21/2026 6:48:15 PM","4/21/2026 12:42:00 PM","HEALTHY"
"ACG-LT0557","675801800","ARCHRE-Workstation","0c2a09ef-fb79-4e97-a9eb-1e1b6256abc7","WINDOWS","win-x86-64",,"192.168.4.84","off",,"11.1.2","1772627726","1776646038","1776274681","4/20/2026 12:47:18 AM","4/15/2026 5:38:01 PM","HEALTHY"
"ACG-LT0620","678666722","ARCHRE-Workstation","91217f90-5cc0-4bd3-8562-0240fa3a8d85","WINDOWS","win-x86-64",,"192.168.25.177","on",,"11.1.2","1776777687","1776796342",,"4/21/2026 6:32:22 PM",,"HEALTHY"
"ACG-LT0621","657185265","ARCHRE-Workstation","204f8940-5f4e-43f2-953f-b6850735ea77","WINDOWS","win-x86-64",,"192.168.4.20","on",,"11.1.2","1751070721","1776797740","1776775618","4/21/2026 6:55:40 PM","4/21/2026 12:46:58 PM","HEALTHY"
"ACG-LT0625","677423066","ARCHRE-Workstation","dc8164a3-4b51-4f75-9913-364b86e8ad1a","WINDOWS","win-x86-64",,"10.225.129.48","on",,"11.1.2","1774915105","1776796174",,"4/21/2026 6:29:34 PM",,"HEALTHY"
